Name,Base Cost,Apparent Value,Share,Weighted share
Sail of Naurivus,95000,500,2,190000
Sash of the Watchman,36000,70,1,36000
Saw of Substitution,66000,250,1,66000
Scepter of Sacred Power,30000,1200,1,30000
Seat of the Storyteller,57500,200,1,57500
Second Sun,100000,50*,2,200000
Seismic Horn,66000,700,1,66000
Seismic Sandals,38250,3,1,38250
Shroud of the Unblemished Soul,34500,1500,1,34500
Slippers of Silence,37500,200,1,37500
Slippers of Sky Dancing,38000,60,1,38000
Slippers of Water Striding,48000,30,1,48000
Sorcerer's Skullcap,38000,30,1,38000
Soul Contract,50000,100,1,50000
Spectacular Pigments,63000,300,2,126000
Standard of Encampment,30000,400,1,30000
Stone Stylus,36000,30,1,36000
Symbol of the Burning Sun,29000,400,1,29000
Thurible of Life's Righteousness,40000,100,1,40000
Thurible of Sanctification,50000,600,1,50000
Thurible of Shrouding Smoke,38000,100,1,38000
Tokay Flute,30000,200,1,30000
Torc of Sharp Tongues,81000,550,1,81000
Torc of Subtle Sorcery,57000,150,1,57000
Traveling Library,100000,120,1,100000
Unearthly Banner,100000,2000,3,300000
Unwavering Standard,89000,200,2,178000
Veil of the Unflinching Gaze,57000,250,1,57000
Void of Memories,62000,600*,1,62000
Winged Sandals,57000,350*,1,57000
Witch's Broom,48000,2,1,48000
Witch's Shirt,89000,50,2,178000
